,words,ferrari,mercedes,redbull,haas,mclaren,alpine,williams,aston martin,alpha tauri,alfa romeo
0,ferrari,481.0,53.0,37.0,,44.0,,,,,
1,f,399.0,551.0,328.0,423.0,631.0,483.0,551.0,313.0,102.0,191.0
2,race,93.0,106.0,57.0,52.0,85.0,58.0,96.0,34.0,,
3,,68.0,61.0,31.0,45.0,78.0,59.0,53.0,30.0,,
4,team,50.0,122.0,40.0,76.0,65.0,59.0,90.0,83.0,24.0,40.0
5,car,49.0,67.0,49.0,,103.0,,,34.0,,
6,leclerc,38.0,,,,,,,,,
7,formula,34.0,116.0,56.0,44.0,107.0,69.0,70.0,55.0,,38.0
8,driver,34.0,,25.0,49.0,51.0,100.0,85.0,23.0,12.0,
9,fan,32.0,,27.0,,,,,,,
10,season,31.0,47.0,29.0,,,,108.0,,16.0,
11,win,30.0,81.0,29.0,,,,,,,
12,like,30.0,,,,,,,,,
13,schumach,29.0,,,105.0,,,,,,
14,pit,28.0,,,,,,,,,
15,scuderiaferrari,28.0,,,,,,,,,
16,year,27.0,,,,61.0,,59.0,,23.0,
17,th,26.0,,,,54.0,,53.0,,,
18,would,26.0,,,47.0,,,,,,
19,gp,25.0,,,,,,,,,
20,merced,,502.0,40.0,,,,,,,
21,hamilton,,80.0,25.0,,,,,,,
22,lewi,,67.0,,,,,,,,
23,emiss,,66.0,,,,,,,,
24,biofuel,,65.0,,,,,,,,
25,mercedesamgf,,61.0,,,,,,,,
26,freight,,55.0,,,,,,,,
27,lewishamilton,,55.0,,,,,,,,
28,cut,,54.0,,,,,,,,
29,fnew,,51.0,,,44.0,,,22.0,,21.0
30,use,,51.0,,,,,,,,
31,redbul,,,327.0,,,,,,,
32,max,,,54.0,,,,,,,
33,verstappen,,,38.0,,,,,,,
34,bull,,,34.0,,,,,82.0,,
35,red,,,33.0,,,,,79.0,,
36,redbullrac,,,27.0,,,,,,,
37,maxverstappen,,,26.0,,,,,,,
38,haa,,,,413.0,,90.0,47.0,,17.0,39.0
39,william,,,,106.0,,128.0,543.0,,28.0,34.0
40,alpin,,,,98.0,,542.0,65.0,,30.0,36.0
41,mick,,,,98.0,,50.0,,,,
42,alfa,,,,68.0,,60.0,,,13.0,179.0
43,vri,,,,67.0,,96.0,84.0,,30.0,27.0
44,de,,,,65.0,,93.0,83.0,,30.0,27.0
45,seat,,,,60.0,,62.0,60.0,,15.0,
46,ricciardo,,,,53.0,54.0,65.0,,,,
47,romeo,,,,47.0,,,,,,177.0
48,gasli,,,,47.0,,118.0,,,35.0,23.0
49,steiner,,,,43.0,,,,,,
50,mclaren,,,,,563.0,,,,,
51,norri,,,,,65.0,,,,,
52,lando,,,,,54.0,,,,,
53,mclarenf,,,,,50.0,,,,,
54,motorsport,,,,,47.0,,,,,29.0
55,senna,,,,,45.0,,,,,
56,grand,,,,,43.0,,,,,
57,prix,,,,,43.0,,,,,
58,alonso,,,,,,65.0,,30.0,,
59,go,,,,,,64.0,,,,
60,piastri,,,,,,49.0,,,,
61,get,,,,,,47.0,,,,
62,latifi,,,,,,,198.0,,,
63,end,,,,,,,90.0,,,
64,nichola,,,,,,,82.0,,,
65,leav,,,,,,,67.0,,,
66,nicholaslatifi,,,,,,,45.0,,,
67,aston,,,,,,,,259.0,,
68,martin,,,,,,,,255.0,,
69,fallow,,,,,,,,59.0,,
70,young,,,,,,,,29.0,,
71,remind,,,,,,,,29.0,,
72,new,,,,,,,,27.0,,
73,similar,,,,,,,,27.0,,
74,astonmartinf,,,,,,,,24.0,,
75,day,,,,,,,,23.0,,
76,tauri,,,,,,,,,110.0,
77,alpha,,,,,,,,,106.0,
78,tsunoda,,,,,,,,,36.0,
79,yuki,,,,,,,,,32.0,
80,remain,,,,,,,,,14.0,
81,alphataurif,,,,,,,,,12.0,
82,stay,,,,,,,,,11.0,
83,zhou,,,,,,,,,,48.0
84,futur,,,,,,,,,,26.0
85,hurri,,,,,,,,,,24.0
86,ceo,,,,,,,,,,24.0
87,say,,,,,,,,,,24.0
88,sauber,,,,,,,,,,23.0
89,decid,,,,,,,,,,22.0
